,genre,metascore,imdbrating,internet_movie_database_rating,rotten_tomato_rating,metacritic_rating,budget
41,Action,49.0,6.8,6.8,51.0,49.0,170000000.0
42,Comedy,39.0,6.5,6.5,29.0,39.0,38000000.0
43,Action,67.0,7.8,7.8,81.0,67.0,0.0
44,Animation,92.0,8.2,8.2,98.0,92.0,200000000.0
45,Action,52.0,7.3,7.3,50.0,52.0,30000000.0
46,Comedy,72.0,7.0,7.0,85.0,72.0,8000000.0
47,Biography,88.0,8.0,8.0,94.0,88.0,15000000.0
48,Biography,79.0,7.8,7.8,91.0,79.0,25000000.0
49,Action,60.0,6.6,6.6,72.0,60.0,10500000.0
50,Drama,65.0,6.8,6.8,77.0,65.0,20000000.0
51,Animation,63.0,7.3,7.3,72.0,63.0,130000000.0
52,Action,44.0,6.3,6.3,48.0,44.0,25000000.0
53,Action,69.0,6.8,6.8,87.0,69.0,100000000.0
54,Biography,50.0,5.8,5.8,36.0,50.0,60000000.0
55,Action,62.0,6.3,6.3,61.0,62.0,12000000.0
56,Action,47.0,6.7,6.7,49.0,47.0,110000000.0
57,Crime,83.0,7.3,7.3,95.0,83.0,0.0
58,Comedy,63.0,6.4,6.4,63.0,63.0,36000000.0
59,Animation,56.0,6.2,6.2,54.0,56.0,15000000.0
60,Drama,69.0,7.1,7.1,71.0,69.0,15000000.0
61,Action,51.0,6.4,6.4,64.0,51.0,40000000.0
62,Drama,65.0,7.0,7.0,87.0,65.0,3000000.0
63,Action,32.0,5.3,5.3,19.0,32.0,26000000.0
64,Drama,40.0,7.1,7.1,27.0,40.0,16000000.0
65,Action,33.0,4.7,4.7,12.0,33.0,47000000.0
66,Action,65.0,6.4,6.4,61.0,65.0,110000000.0
67,Comedy,57.0,6.5,6.5,55.0,57.0,40000000.0
68,Drama,90.0,7.2,7.2,94.0,90.0,2000000.0
69,Action,37.0,5.8,5.8,21.0,37.0,60000000.0
70,Action,45.0,6.2,6.2,28.0,45.0,32000000.0
71,Comedy,70.0,7.5,7.5,88.0,70.0,0.0
72,Adventure,66.0,7.3,7.3,74.0,66.0,30000000.0
73,Action,21.0,5.5,5.5,10.0,21.0,75000000.0
74,Comedy,65.0,7.5,7.5,85.0,65.0,0.0
75,Comedy,51.0,6.5,6.5,39.0,51.0,65000000.0
76,Horror,44.0,6.2,6.2,49.0,44.0,10000000.0
77,Action,63.0,6.8,6.8,53.0,63.0,100000000.0
78,Action,44.0,6.4,6.4,42.0,44.0,24000000.0
79,Action,50.0,6.7,6.7,49.0,50.0,2500000.0
80,Comedy,63.0,7.1,7.1,58.0,63.0,8000000.0
81,Horror,56.0,6.5,6.5,70.0,56.0,20000000.0
82,Animation,58.0,6.3,6.3,58.0,58.0,165000000.0
83,Crime,24.0,5.6,5.6,10.0,24.0,0.0
84,Drama,79.0,7.1,7.1,88.0,79.0,20000000.0
85,Drama,43.0,5.8,5.8,34.0,43.0,0.0
86,Comedy,86.0,7.0,7.0,92.0,86.0,4000000.0
87,Comedy,56.0,6.3,6.3,66.0,56.0,55000000.0
88,Comedy,33.0,6.5,6.5,23.0,33.0,19000000.0
89,Comedy,68.0,7.3,7.3,83.0,68.0,0.0
90,Comedy,27.0,5.5,5.5,9.0,27.0,100000000.0
91,Biography,65.0,6.5,6.5,69.0,65.0,10000000.0
92,Action,46.0,6.1,6.1,40.0,46.0,150000000.0
93,Action,43.0,5.6,5.6,48.0,43.0,10000000.0
94,Adventure,75.0,7.4,7.4,90.0,75.0,0.0
95,Animation,75.0,7.4,7.4,90.0,75.0,150000000.0
96,Adventure,75.0,7.4,7.4,90.0,75.0,0.0
97,Animation,75.0,7.4,7.4,90.0,75.0,150000000.0
